Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Brad Wanamaker,BOS,"PG,SG,Flx",187,MIL,ATL,,211.5,16.27,16%,6%,13,35,76,11,15,16,96,0,23,33,14,1,12
JaMychal Green,LAC,"PF,C,Flx",188,SAS,SAS,,211,17.58,28%,4.40%,12,23,60,14,4,11,64,18,58,10,6,3,7
Luke Kornet,CHI,"PF,C,Flx",189,BKN,BKN,,209,19,19%,1.90%,11,44,89,13,11,16,112,12,27,14,4,6,6
Mike Conley,UTA,"PG,Flx",190,IND,IND,,208.5,23.17,92%,-0.10%,9,49,106,16,17,24,131,3,26,28,4,0,14
Kendrick Nunn,MIA,"PG,SG,Flx",191,LAL,LAL,,208.5,20.85,80%,-2.40%,10,48,135,16,14,15,126,3,26,32,6,2,18
Glenn Robinson III,PHI,"SG,SF,Flx",192,ATL,ATL,,208,26,50%,-10.80%,8,47,77,13,12,14,119,7,18,17,5,5,7
Taj Gibson,NY,"PF,C,Flx",193,DEN,DEN,,207.5,17.29,15%,0.40%,12,45,65,1,5,8,96,20,33,7,1,9,5
Cory Joseph,SAC,"PG,Flx",194,UTA,UTA,,206.5,17.21,14%,1%,12,29,60,12,5,8,75,9,20,37,6,4,9
Damian Jones,ATL,"C,Flx",195,WAS,WAS,,203,15.62,13%,0.20%,13,24,37,0,16,22,64,19,37,8,13,7,8
Nerlens Noel,OKC,"PF,C,Flx",196,OKC,OKC,,200,20,69%,2.30%,10,35,51,0,5,8,75,16,37,6,9,10,11
Darius Garland,CLE,"PG,Flx",197,ATL,UTA,,200,20,67%,-2.30%,10,46,134,16,10,12,118,4,11,47,5,2,24
Reggie Bullock,NY,"SG,SF,Flx",198,MEM,MEM,,199,16.58,16%,2.50%,12,43,109,19,8,9,113,6,31,17,7,0,9
James Johnson,MIN,"SF,PF,Flx",199,NYK,ATL,,198.5,19.85,27%,10.80%,10,27,65,11,3,7,68,5,31,26,9,11,16
Bobby Portis,NY,"PF,C,Flx",200,DAL,DAL,,198,16.5,44%,-0.50%,12,39,92,9,9,12,96,11,34,24,6,1,16
Willie Cauley-Stein,DAL,"PF,C,Flx",201,LAC,LAC,,197.5,17.95,65%,-3.70%,11,29,49,0,6,8,64,15,37,12,5,11,4
Enes Kanter,BOS,"C,Flx",202,ATL,UTA,,195.5,24.44,78%,-2.60%,8,30,52,0,14,20,74,25,45,8,1,5,10
Cam Reddish,ATL,"PG,SG,SF,PF,Flx",203,IND,IND,,195.5,21.72,49%,3.60%,9,38,89,18,19,24,113,6,32,11,6,4,12
Harry Giles III,SAC,"PF,C,Flx",204,HOU,HOU,,194.5,17.68,23%,2.30%,11,35,51,0,6,9,76,13,39,14,5,5,8
Mo Bamba,ORL,"C,Flx",205,PHX,PHX,,194,17.64,37%,1.50%,11,25,45,7,7,8,64,16,23,8,4,19,6
Kris Dunn,CHI,"PG,SG,SF,Flx",206,OKC,OKC,,191.5,27.36,51%,-4.10%,7,25,40,4,11,13,65,2,30,27,14,2,11
Avery Bradley,LAL,"PG,SG,Flx",207,OKC,OKC,,190,17.27,18%,3.20%,11,43,90,23,7,8,116,3,18,15,6,1,5
Ben McLemore,HOU,"SG,SF,Flx",208,CHI,MIN,,189.5,14.58,24%,-1%,13,45,92,30,8,13,128,1,16,10,6,2,6
Kent Bazemore,SAC,"SG,SF,Flx",209,MIA,MIA,,188.5,17.14,32%,1.40%,11,31,82,10,22,31,94,8,37,11,11,4,12
Vince Carter,ATL,"SG,SF,Flx",210,TOR,TOR,,188,14.46,6%,-0.20%,13,29,71,15,8,8,81,7,33,11,6,9,10
John Henson,DET,"PF,C,Flx",211,TOR,TOR,,187.5,17.05,16%,1.70%,11,27,48,3,5,8,62,13,34,14,5,11,9
Shake Milton,PHI,"PG,SG,Flx",212,PHX,PHX,,187,18.7,14%,-3.40%,10,32,70,14,13,17,91,4,26,24,8,0,10
Cristiano Felicio,CHI,"C,Flx",213,IND,IND,,186,16.91,5%,0.80%,11,21,35,0,13,17,55,37,30,9,5,1,10
Danny Green,LAL,"SG,SF,Flx",214,CHI,CHI,,184,16.73,58%,2.10%,11,26,72,19,7,8,78,9,21,13,13,6,12
Isaac Bonga,WAS,"SF,PF,Flx",215,ORL,ORL,,184,15.33,11%,1.40%,12,24,45,9,12,13,69,14,23,13,9,7,11
Kevin Porter Jr.,CLE,"SG,SF,Flx",216,IND,IND,,183.5,22.94,43%,4.70%,8,46,89,16,14,21,122,5,16,17,9,1,19
Markieff Morris,DET,"PF,C,Flx",217,MIN,MIN,,177.5,19.72,30%,1.70%,9,33,82,15,14,17,95,5,38,13,3,3,13
Jevon Carter,PHO,"PG,Flx",218,SAS,SAS,,177,13.62,9%,1.30%,13,27,60,16,7,8,77,10,17,16,9,3,6
Norman Powell,TOR,"SG,SF,Flx",219,MIN,MIN,,175.5,25.07,64%,0.50%,7,35,81,14,18,21,102,7,21,8,12,2,11
De'Anthony Melton,MEM,"PG,SG,Flx",220,UTA,UTA,,175.5,17.55,41%,-3.70%,10,33,81,3,15,20,84,3,24,27,13,2,16
Juancho Hernangomez,MIN,"SF,PF,Flx",221,CLE,CLE,,175,17.51,40%,11.40%,11,26,66,8,17,21,77,17,34,8,5,3,7
Cheick Diallo,PHO,"PF,C,Flx",222,LAL,LAL,,174.5,14.54,11%,2.50%,12,33,49,0,12,14,78,9,40,7,4,7,13
Lonnie Walker IV,SA,"SG,Flx",223,POR,POR,,170,12.14,26%,2.80%,14,29,71,8,16,21,82,6,22,14,12,4,7
Wilson Chandler,BKN,"SF,PF,Flx",224,UTA,UTA,,170,15.45,9%,1.50%,11,23,56,13,8,9,67,5,40,13,6,3,11
Jordan Poole,GS,"SG,Flx",225,LAC,LAC,,168.5,15.32,23%,3.90%,11,29,89,11,23,25,92,2,25,24,6,2,12
Matisse Thybulle,PHI,"SG,SF,Flx",226,PHI,PHI,,166,15.09,38%,0.50%,11,23,52,12,3,7,61,7,12,12,17,8,7
Brandon Goodwin,ATL,"PG,Flx",227,MEM,MEM,,164.5,13.71,8%,1.60%,12,31,79,11,14,14,87,6,29,18,3,1,11
Kentavious Caldwell-Pope,LAL,"PG,SG,SF,Flx",228,DET,DET,,164,14.91,28%,1.40%,11,34,70,16,11,14,95,7,10,14,8,2,8
Svi Mykhailiuk,DET,"SG,Flx",229,WAS,WAS,,163.5,18.17,26%,-1.10%,9,33,80,18,22,24,106,3,19,11,6,1,9
Pat Connaughton,MIL,"SG,SF,Flx",230,NOP,NOP,,161.5,17.94,14%,1%,9,20,39,9,0,0,49,13,37,10,3,4,6
PJ Dozier,DEN,"PG,Flx",231,TOR,TOR,,157.5,12.12,6%,0.80%,13,29,73,5,7,11,70,5,21,24,7,5,11
JaVale McGee,LAL,"C,Flx",232,CHI,CHI,,157,17.44,60%,-0.10%,9,28,43,1,10,14,67,14,32,2,2,9,7
Isaiah Thomas,(N/A),"PG,Flx",233,TOR,TOR,,156.5,19.56,37%,-4.10%,8,34,83,19,10,12,97,4,18,19,1,1,11
PJ Washington,CHA,"SF,PF,Flx",234,PHI,PHI,,155.5,19.44,78%,-1%,8,28,74,4,5,12,65,10,33,17,7,3,12
Anfernee Simons,POR,"PG,SG,Flx",235,DAL,DAL,,155,14.09,36%,6.50%,11,32,74,14,16,16,94,5,15,19,0,3,10
Wesley Matthews,MIL,"SG,SF,Flx",236,OKC,OKC,,154.5,15.45,23%,3%,10,29,67,20,9,12,87,2,23,13,3,3,10
Clint Capela,ATL,"PF,C,Flx",237,PHI,PHI,,152,30.4,100%,-0.10%,5,26,43,0,3,12,55,25,21,5,0,12,7
Tyler Herro,MIA,"SG,SF,Flx",238,LAL,LAL,,151,18.88,70%,-1.80%,8,33,83,19,9,12,94,1,19,9,5,4,5
Rondae Hollis-Jefferson,TOR,"SF,PF,Flx",239,MIL,MIL,,150,16.67,23%,2.40%,9,19,41,0,10,18,48,9,28,18,9,3,5
Guillermo Hernangomez,CHA,"C,Flx",240,SAS,SAS,,149,16.56,16%,0.30%,9,27,55,2,15,23,71,14,30,11,5,1,12
Wes Iwundu,ORL,"SG,SF,Flx",241,LAL,LAL,,148.5,12.38,8%,0.40%,12,22,49,11,13,18,68,4,21,16,7,0,1
Luguentz Dort,OKC,"SG,Flx",242,DEN,DEN,,147,12.25,12%,1.40%,12,31,73,13,10,11,85,10,10,7,11,1,8
Georges Niang,UTA,"SF,PF,Flx",243,UTA,UTA,,146.5,12.21,7%,0.70%,12,29,65,16,10,10,84,3,18,11,6,1,8
Caleb Swanigan,POR,"PF,C,Flx",244,SAS,SAS,,146.5,13.32,6%,0.90%,11,16,32,0,3,8,35,19,42,14,1,4,17
Damyean Dotson,NY,"SG,Flx",245,DEN,DEN,,146,16.22,11%,0.60%,9,33,63,20,6,8,92,2,14,8,6,0,5
Rudy Gay,SA,"SF,PF,Flx",246,SAS,SAS,,144,12,55%,-1.80%,12,25,64,5,12,12,67,4,39,16,2,0,12
Elie Okobo,PHO,"PG,Flx",247,HOU,HOU,,142.5,11.88,8%,0.80%,12,13,36,5,10,12,41,5,24,30,7,1,16
Chris Boucher,TOR,"PF,C,Flx",248,WAS,WAS,,142,15.78,21%,0.30%,9,25,51,2,17,18,69,9,25,3,4,7,4
Tony Bradley,UTA,"C,Flx",249,DEN,DEN,,142,14.2,10%,1%,10,22,30,0,3,6,47,22,32,2,2,2,4
Thabo Sefolosha,HOU,"SG,SF,PF,Flx",250,BKN,BKN,,141,11.75,3%,0%,12,18,34,4,1,5,41,8,27,8,9,8,7
Marc Gasol,TOR,"C,Flx",251,MIA,MIA,,138.5,27.7,78%,-2.20%,5,20,34,10,5,8,55,6,26,15,1,2,5
Sekou Doumbouya,DET,"SF,PF,Flx",252,IND,IND,,138.5,10.65,32%,-0.10%,13,25,87,10,11,13,71,9,38,5,8,3,22
Alex Caruso,LAL,"SG,Flx",253,POR,POR,,136,12.36,16%,1.20%,11,18,46,8,8,11,52,1,14,17,13,3,4
Semi Ojeleye,BOS,"SF,PF,Flx",254,UTA,UTA,,136,11.33,7%,0.90%,12,17,39,7,13,13,54,6,26,9,6,2,3
Darius Bazley,OKC,"SF,PF,Flx",255,MEM,MEM,,135,13.5,19%,1.90%,10,22,44,3,9,13,56,3,31,7,5,6,3
Ryan Arcidiacono,CHI,"PG,Flx",256,MIA,MIA,,135,12.27,8%,1%,11,22,44,14,2,4,60,2,17,20,4,1,8
Gary Harris,DEN,"SG,SF,Flx",257,POR,POR,,134,14.89,60%,-2.80%,9,23,77,5,12,14,63,1,30,19,7,1,10
Jarrett Culver,MIN,"PG,SG,SF,Flx",258,CHI,CHI,,133,12.09,50%,-1.70%,11,25,75,10,5,13,65,6,18,13,9,7,14
Kyle Korver,MIL,"SG,SF,Flx",259,HOU,HOU,,131.5,14.61,12%,1.40%,9,22,52,14,4,5,62,3,24,10,3,4,8
Mike Scott,PHI,"PF,Flx",260,HOU,HOU,,131,11.91,9%,1.20%,11,20,49,12,6,6,58,11,30,3,2,1,5
Aaron Holiday,IND,"PG,SG,Flx",261,SAS,SAS,,130.5,14.5,28%,0.20%,9,26,70,13,0,0,65,2,9,24,3,3,6
Moe Harkless,NY,"SF,PF,Flx",262,DET,DET,,130.5,14.5,21%,2%,9,19,39,7,2,2,47,5,31,9,6,2,8
Rui Hachimura,WAS,"SF,PF,Flx",263,PHI,PHI,,129,25.8,84%,1.50%,5,27,52,3,11,15,68,7,27,6,4,2,7
Meyers Leonard,MIA,"PF,C,Flx",264,BKN,BKN,,128,16,18%,2.20%,8,19,44,8,4,7,50,5,41,5,3,1,6
Gorgui Dieng,MEM,"PF,C,Flx",265,CHA,CHA,,127,14.11,22%,-1.90%,9,16,36,7,2,3,41,8,24,8,5,7,8
Patrick Beverley,LAC,"PG,SG,Flx",266,BOS,BOS,,126.5,25.3,73%,-4.80%,5,18,36,13,0,0,49,3,16,20,2,3,9
Marco Belinelli,SA,"SG,SF,Flx",267,OKC,OKC,,125.5,11.41,9%,1.20%,11,21,49,13,10,11,65,1,18,16,1,0,1
Dennis Smith Jr.,NY,"PG,SG,Flx",268,PHI,PHI,,124.5,13.83,42%,1.80%,9,19,50,2,7,16,47,6,20,27,9,1,21
Cody Martin,CHA,"SF,Flx",269,MIL,MIL,,123.5,20.58,13%,0.90%,6,20,38,6,1,3,47,11,17,13,5,1,7
Victor Oladipo,IND,"PG,SG,Flx",270,WAS,WAS,,121,17.29,97%,0.20%,7,28,85,10,12,15,78,6,8,20,4,1,12
Jaxson Hayes,NO,"PF,C,Flx",271,DET,DET,,120.5,10.04,41%,3.60%,12,20,30,0,19,32,59,9,24,10,1,4,7
Ersan Ilyasova,MIL,"SF,PF,Flx",272,MEM,MEM,,120.5,12.05,17%,1.10%,10,18,52,7,10,11,53,8,30,6,4,1,7
Khem Birch,ORL,"PF,C,Flx",273,BOS,BOS,,120,13.33,9%,0.30%,9,14,29,0,11,15,39,20,22,5,2,3,3
Frank Ntilikina,NY,"PG,SG,Flx",274,MEM,MEM,,118.5,11.85,18%,1.30%,10,18,48,3,5,6,44,4,19,24,4,2,12
Dante Exum,CLE,"PG,SG,Flx",275,NOP,NOP,,117,10.64,11%,0.70%,11,14,36,1,10,13,39,6,19,18,7,2,8
Keita Bates-Diop,DEN,"SF,PF,Flx",276,MIN,CHI,,115.5,12.83,12%,0.70%,9,18,37,2,9,13,47,4,18,11,3,7,2
E'Twaun Moore,NO,"SG,SF,Flx",277,NYK,NYK,,111.5,10.14,14%,2.60%,11,33,75,9,4,5,79,4,9,8,3,3,7
Mike Muscala,OKC,"PF,C,Flx",278,PHI,PHI,,111.5,13.94,11%,1.10%,8,19,32,15,3,4,56,1,17,5,1,4,2
Jordan McRae,DEN,"PG,SG,Flx",279,ATL,ATL,,110,18.33,26%,-2.70%,6,16,45,4,10,14,46,2,21,16,3,3,4
Paul Millsap,DEN,"PF,C,Flx",280,SAC,SAC,,109.5,36.5,77%,6.80%,3,15,27,6,8,13,44,6,16,11,4,1,0
Patrick McCaw,TOR,"SG,SF,Flx",281,MIL,MIL,,109.5,10.95,9%,0%,10,10,23,5,5,7,30,5,13,17,9,0,3
Bruno Fernando,ATL,"C,Flx",282,LAL,LAL,,104,14.86,24%,0.10%,7,19,31,0,2,3,40,14,20,1,4,4,9
Ryan Broekhoff,(N/A),"SF,Flx",283,DET,DET,,103,14.71,2%,-0.90%,7,11,34,10,2,2,34,4,25,7,3,3,4
Hamidou Diallo,OKC,"SG,SF,Flx",284,IND,IND,,101.5,11.28,15%,1.20%,9,20,37,0,3,3,43,5,31,6,2,1,9
Justin Jackson,DAL,"SF,PF,Flx",285,LAC,LAC,,100.5,9.14,13%,1.30%,11,21,62,6,6,6,54,6,19,11,0,1,4
J.J. Barea,DAL,"PG,SG,Flx",286,SAC,SAC,,99,19.8,8%,-0.40%,5,15,34,4,9,9,43,3,9,24,0,0,6
Dario Saric,PHO,"PF,C,Flx",287,CHA,CHA,,98.5,16.42,61%,-0.50%,6,17,36,3,10,11,47,8,14,8,3,1,4
Rodney McGruder,LAC,"SG,SF,Flx",288,BKN,BKN,,98,8.17,7%,1.90%,12,13,36,2,6,12,34,7,27,8,5,1,6
Solomon Hill,MIA,"SG,SF,Flx",289,CHA,CHA,,98,12.25,6%,0.50%,8,14,30,10,6,10,44,2,15,15,2,1,8
Omari Spellman,MIN,"PF,C,Flx",290,CHI,CHI,,97.5,12.19,21%,-1.20%,8,16,49,6,15,19,53,4,21,5,5,2,8
Ty Jerome,PHO,"PG,Flx",291,IND,IND,,97,12.12,15%,1.70%,8,16,36,5,5,7,42,2,15,14,3,2,5
Alfonzo McKinnie,CLE,"PF,Flx",292,SAC,SAC,,97,12.12,12%,1.10%,8,20,48,3,8,12,51,8,17,4,6,1,6
Naz Reid,MIN,"C,Flx",293,DEN,DEN,,96.5,13.79,21%,10.90%,7,16,34,7,7,7,46,5,17,3,2,4,4
Gary Payton II,WAS,"SG,Flx",294,LAL,LAL,,95.5,9.55,10%,-0.70%,10,10,33,3,0,1,23,9,12,12,9,1,3
Moritz Wagner,WAS,"PF,C,Flx",295,DAL,DAL,,91.5,18.3,49%,10%,5,21,33,1,8,13,51,2,20,5,3,2,6
Josh Jackson,MEM,"SG,SF,Flx",296,LAC,LAC,,90.5,12.93,23%,1%,7,15,41,3,9,13,42,5,22,6,6,1,10
Marvin Williams,MIL,"SF,PF,Flx",297,MEM,MEM,,89,14.83,25%,1.60%,6,13,29,5,6,8,37,3,15,7,1,6,3
Jacob Evans III,MIN,"SG,Flx",298,MEM,MEM,,86,12.29,7%,0.50%,7,13,29,3,6,6,35,2,6,10,5,5,2
Raul Neto,PHI,"PG,Flx",299,BKN,BKN,,84.5,9.39,4%,-0.10%,9,12,39,7,4,6,35,6,9,14,4,1,8
Kevin Knox II,NY,"SF,PF,Flx",300,DEN,DEN,,84,7,38%,1.90%,12,18,57,8,6,7,50,3,20,5,0,3,7
Sterling Brown,MIL,"SG,SF,Flx",301,TOR,TOR,,84,14,8%,0.50%,6,13,31,5,3,3,34,5,19,5,2,1,2
Timothe Luwawu-Cabarrot,BKN,"SG,SF,Flx",302,FA,FA,,84,9.33,4%,1%,9,14,32,10,14,17,52,3,10,1,4,2,4
Frank Jackson,NO,"PG,Flx",303,DAL,DAL,,83.5,8.35,12%,2.40%,10,14,30,7,10,13,45,5,7,8,4,2,9
Wayne Ellington,NY,"SG,SF,Flx",304,LAC,LAC,,83,16.6,8%,3.10%,5,16,35,12,7,7,51,2,6,5,3,0,1
Javonte Green,BOS,"PG,SG,SF,Flx",305,GSW,GSW,,83,10.38,5%,0.70%,8,9,21,0,8,17,26,5,13,10,10,1,5
Denzel Valentine,CHI,"SG,SF,Flx",306,WAS,WAS,,82,11.71,9%,1.20%,7,14,42,7,0,0,35,1,14,12,6,0,8
Gary Clark,ORL,"SF,PF,Flx",307,DEN,DEN,,78,8.67,4%,0.60%,9,7,21,6,2,2,22,8,15,1,2,5,1
Jerome Robinson,WAS,"SG,Flx",308,MIL,MIL,,77,7.7,10%,1.10%,10,8,30,4,2,4,22,0,19,14,4,1,5
Shaquille Harrison,CHI,"PG,SG,Flx",309,IND,IND,,76,10.86,6%,0.90%,7,16,30,3,6,6,41,1,9,6,5,2,6
Rodions Kurucs,BKN,"SF,PF,Flx",310,CLE,CLE,,73,12.17,18%,2%,6,15,25,8,4,4,42,2,7,6,3,0,6
Nassir Little,POR,"SF,Flx",311,MIL,MIL,,71,11.83,21%,2.60%,6,15,24,5,5,6,40,4,6,2,1,4,2
Cameron Johnson,PHO,"SG,SF,Flx",312,IND,IND,,70.5,17.62,24%,2.70%,4,9,27,7,3,4,28,1,5,9,7,1,2
Josh Richardson,PHI,"SG,SF,Flx",313,HOU,HOU,,68,13.6,95%,-0.20%,5,17,36,4,5,9,43,3,6,7,2,3,7
Kevon Looney,GS,"PF,C,Flx",314,TOR,TOR,,67,13.4,40%,0.30%,5,7,19,0,3,4,17,7,10,7,4,2,1
Boban Marjanovic,DAL,"C,Flx",315,TOR,TOR,,67,9.57,15%,0.40%,7,12,22,1,8,9,33,5,13,3,1,2,4
Robin Lopez,MIL,"C,Flx",316,NOP,NOP,,64,8,16%,1.30%,8,10,24,3,3,4,26,5,8,5,1,5,4
Yogi Ferrell,SAC,"PG,SG,Flx",317,POR,POR,,64,5.82,5%,0.80%,11,12,35,4,2,3,30,2,8,9,4,1,4
Treveon Graham,ATL,"SG,SF,Flx",318,FA,FA,,63.5,5.77,7%,0.50%,11,6,23,4,6,8,22,5,16,1,3,3,3
Mario Hezonja,POR,"SG,SF,Flx",319,MIA,MIA,,62,8.86,14%,1.30%,7,9,27,3,7,10,28,3,11,3,5,2,3
Matt Thomas,TOR,"SG,Flx",320,DET,DET,,61.5,8.79,6%,1.10%,7,11,20,5,0,0,27,1,9,6,3,0,1
Kelan Martin,MIN,"SG,SF,Flx",321,MEM,MEM,,60,12,8%,0.20%,5,11,22,3,7,7,32,2,12,1,3,2,6
Vincent Poirier,BOS,"C,Flx",322,DET,DET,,58.5,8.36,5%,0.50%,7,7,12,1,3,3,18,1,16,4,0,4,2
Emmanuel Mudiay,UTA,"PG,Flx",323,ORL,ORL,,57,9.5,16%,1.20%,6,9,24,4,5,7,27,3,6,9,2,1,5
Andre Iguodala,MIA,"SG,SF,Flx",324,ATL,MIL,,55.5,18.5,17%,1.10%,3,5,9,3,0,0,13,5,11,7,1,1,4
James Ennis III,ORL,"SG,SF,Flx",325,LAL,LAL,,55,6.11,9%,1.50%,9,10,24,2,6,8,28,4,9,5,2,1,5
RJ Barrett,NY,"SG,SF,Flx",326,GSW,GSW,,54.5,13.62,91%,-3%,4,11,36,1,13,19,36,1,13,8,1,0,4
Bismack Biyombo,CHA,"PF,C,Flx",327,BKN,BKN,,53,13.25,13%,0.70%,4,7,13,0,7,11,21,10,7,3,0,3,5
Jalen McDaniels,CHA,"PF,Flx",328,TOR,TOR,,52,17.33,8%,5.50%,3,8,11,4,3,3,23,1,10,1,3,0,0
Dion Waiters,(N/A),"SG,SF,Flx",329,UTA,UTA,,51.5,17.17,16%,-0.80%,3,10,26,8,0,1,28,0,11,3,0,2,3
Romeo Langford,BOS,"PG,SG,Flx",330,NOP,NOP,,49,7,19%,2.10%,7,11,19,2,5,8,29,1,6,1,2,4,3
Nicolas Claxton,BKN,"C,Flx",331,DAL,DAL,,49,16.33,14%,1.20%,3,8,12,1,4,7,21,7,8,4,0,0,2
Courtney Lee,DAL,"SG,SF,Flx",332,GSW,GSW,,49,12.25,2%,0.50%,4,9,16,6,0,0,24,2,2,2,4,1,1
Allen Crabbe,MIN,"SG,SF,Flx",333,LAC,LAC,,48,6,6%,0.60%,8,11,32,6,1,2,29,1,11,5,0,0,4
Abdel Nader,OKC,"SF,PF,Flx",334,TOR,TOR,,47,6.71,4%,1.20%,7,8,21,1,8,11,25,0,10,1,5,2,4
Patrick Patterson,LAC,"PF,C,Flx",335,MIL,MIL,,46.5,6.64,7%,1.40%,7,7,15,5,10,10,29,3,7,2,0,0,4
Lauri Markkanen,CHI,"PF,Flx",336,HOU,HOU,,45.5,22.75,94%,1.40%,2,8,25,4,9,10,29,3,11,1,1,0,5
Goga Bitadze,IND,"C,Flx",337,LAL,LAL,,43,4.78,28%,1.70%,9,12,24,0,1,2,25,2,9,2,1,2,4
George Hill,MIL,"PG,SG,Flx",338,HOU,HOU,,42,14,28%,1.80%,3,9,19,2,4,4,24,1,3,7,3,0,7
Marvin Bagley III,SAC,"PF,C,Flx",339,NYK,NYK,,41.5,41.5,88%,-4.40%,1,7,13,0,1,1,15,5,10,2,1,0,2
Jeremy Pargo,GS,"PG,SG,Flx",340,FA,FA,,41,13.67,1%,1.30%,3,11,22,3,0,1,25,1,2,8,1,0,4
Nicolas Batum,CHA,"SG,SF,Flx",341,TOR,TOR,,40,20,28%,0.50%,2,2,10,1,3,4,8,5,7,7,1,0,1
Chris Silva,MIA,"SG,PF,Flx",342,FA,FA,,40,5.71,7%,1.10%,7,3,10,0,3,4,9,5,7,3,3,1,1
Marko Guduric,MEM,"SG,Flx",343,UTA,UTA,,39,7.8,7%,1.10%,5,6,11,3,6,6,21,0,8,2,2,1,6
Terance Mann,LAC,"SF,Flx",344,ATL,MIA,,37,5.29,9%,1.50%,7,1,7,1,1,2,4,0,6,9,2,2,1
Jared Dudley,LAL,"SF,PF,Flx",345,NYK,NYK,,36.5,5.21,2%,0.40%,7,4,10,3,0,0,11,2,10,0,2,1,1
Anthony Tolliver,SAC,"SF,PF,Flx",346,ORL,ORL,,35,3.89,4%,0.70%,9,3,17,2,1,2,9,2,9,3,4,1,4
Wenyen Gabriel,POR,"PF,Flx",347,OKC,OKC,,35,5,4%,0.50%,7,6,14,1,1,2,14,3,6,1,2,2,2
Deonte Burton,OKC,"SF,Flx",348,FA,FA,,35,7,2%,0.40%,5,9,20,2,1,1,21,0,5,1,1,3,2
Ky Bowman,GS,"PG,Flx",349,MEM,MEM,,34.5,11.5,26%,-1.20%,3,2,11,0,5,6,9,2,3,13,0,1,6
Dwayne Bacon,CHA,"SG,Flx",350,PHX,PHX,,34.5,6.9,20%,1%,5,1,13,0,2,2,4,2,13,7,2,0,6
Troy Daniels,LAL,"PG,SG,Flx",351,BKN,BKN,,34.5,4.93,4%,0.40%,7,6,23,4,3,5,19,5,2,3,1,1,2
Johnathan Motley,LAC,"SF,Flx",352,FA,FA,,34,5.67,2%,0.40%,6,8,10,0,3,5,19,2,6,3,0,0,1
Alex Len,SAC,"PF,C,Flx",353,POR,POR,,32.5,16.25,46%,1.50%,2,3,9,0,1,2,7,5,6,0,2,3,2
Mason Plumlee,DEN,"PF,C,Flx",354,PHX,PHX,,32.5,16.25,28%,2.90%,2,9,11,0,1,4,19,3,3,4,0,0,1
Juan Toscano-Anderson,GS,"SF,Flx",355,BOS,BOS,,32.5,10.83,3%,1.50%,3,5,10,2,0,0,12,0,7,3,3,0,3
Tyler Johnson,(N/A),"PG,SG,Flx",356,FA,FA,,31,10.33,11%,1.40%,3,6,14,4,2,2,18,0,1,3,2,1,2
Louis King,DET,"PF,Flx",357,FA,FA,,30,5,1%,0.30%,6,5,14,3,0,3,13,0,8,4,1,0,1
Caleb Martin,CHA,"SG,Flx",358,FA,FA,,29.5,9.83,5%,1.60%,3,5,15,2,1,2,13,1,7,2,2,0,1
Ed Davis,UTA,"PF,C,Flx",359,MEM,MEM,,27.5,6.88,11%,0.60%,4,3,4,0,0,0,6,6,5,0,1,0,0
Terrance Ferguson,OKC,"SG,SF,Flx",360,TOR,TOR,,27.5,5.5,11%,1.60%,5,1,7,1,1,2,4,1,5,6,2,0,0
Jarred Vanderbilt,MIN,"SF,Flx",361,LAL,LAL,,27.5,3.93,9%,1%,7,4,7,0,2,2,10,3,4,1,3,1,5
Amir Coffey,LAC,"SF,Flx",362,FA,FA,,27.5,6.88,1%,0.50%,4,7,15,0,0,1,14,2,5,2,1,1,2
Dzanan Musa,BKN,"SF,Flx",363,LAL,LAL,,26.5,4.42,10%,1.20%,6,6,13,1,0,3,13,1,6,3,2,0,3
Jakarr Sampson,IND,"SG,SF,Flx",364,ORL,ORL,,26.5,5.3,3%,0.20%,5,5,11,0,2,2,12,3,6,0,0,1,0
Anzejs Pasecniks,WAS,"C,Flx",365,LAC,LAC,,25.5,6.38,11%,0.80%,4,4,7,0,3,4,11,2,3,1,0,3,1
Jonah Bolden,PHO,"PF,Flx",366,DAL,DAL,,25.5,8.5,5%,1.20%,3,3,8,0,2,2,8,3,5,0,1,2,1
Vlatko Cancar,DEN,"SF,Flx",367,FA,FA,,25.5,6.38,3%,0.20%,4,4,8,1,2,2,11,2,5,1,1,1,3
Justin James,SAC,"SG,Flx",368,HOU,HOU,,25,3.12,4%,0.40%,8,5,8,1,7,10,18,2,0,2,1,0,0
Matthew Dellavedova,CLE,"PG,SG,Flx",369,MIA,MIA,,25,4.17,4%,0.50%,6,3,11,0,0,0,6,0,4,12,0,0,7
Juwan Morgan,UTA,"PF,Flx",370,FA,FA,,25,5,1%,0.20%,5,5,8,1,0,0,11,4,5,0,0,0,1
Nickeil Alexander-Walker,NO,"SG,Flx",371,PHX,PHX,,24.5,3.5,34%,2.90%,7,2,13,0,0,0,4,1,6,8,1,1,6
Zach Norvell Jr.,GS,"SG,Flx",372,FA,FA,,24.5,8.17,6%,2.10%,3,3,11,3,1,1,10,0,5,3,2,0,3
Jahlil Okafor,NO,"C,Flx",373,NOP,NOP,,24,8,23%,1.50%,3,5,8,0,0,1,10,3,3,1,2,0,1
Mfiondu Kabengele,LAC,"C,Flx",374,PHX,PHX,,23.5,11.75,13%,1.90%,2,4,10,3,2,2,13,0,3,1,1,1,1
