Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Vanja Marinkovic,(N/A),"SG,SF,Flx",576,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Monroe,(N/A),"PF,C,Flx",577,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Vezenkov,(N/A),"PF,Flx",578,ATL,ATL,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,(N/A),"SF,PF,Flx",579,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Omer Asik,CHI,"PF,C,Flx",580,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Canaan,MIL,"PG,Flx",581,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Carr,NO,"PG,Flx",582,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpha Kaba,ATL,"PF,Flx",583,OKC,OKC,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Newman,CLE,"PG,Flx",584,FA,FA,,0,0,0%,0%,1,0,2,0,2,2,2,0,0,0,0,0,1
Cameron Oliver,POR,"SF,Flx",585,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Jeanne,(N/A),"C,Flx",586,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Smith,(N/A),"SF,Flx",587,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Suggs,TOR,"SG,Flx",588,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
lex Abrines,(N/A),"SG,SF,Flx",589,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Aldrich,(N/A),"C,Flx",590,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawle Alkins,(N/A),"SG,Flx",591,BKN,BKN,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Augustine,(N/A),"SF,PF,C,Flx",592,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerryd Bayless,(N/A),"PG,SG,Flx",593,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dante Cunningham,(N/A),"SF,PF,Flx",594,MIA,MIA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Delgado,(N/A),"C,Flx",595,PHX,PHX,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl Macon,(N/A),"PG,Flx",596,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Magette,(N/A),"PG,Flx",597,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarell Martin,(N/A),"PF,C,Flx",598,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Poythress,(N/A),"SF,Flx",599,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Davon Reed,(N/A),"SG,Flx",600,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
J.R. Smith,(N/A),"SG,SF,Flx",601,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik Stauskas,(N/A),"SG,SF,Flx",602,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekpe Udoh,(N/A),"PF,C,Flx",603,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Williams,(N/A),"SG,SF,Flx",604,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Baker,WAS,"PG,SG,Flx",605,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Barford,CHA,"PG,Flx",606,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Bibbs,LAC,"SG,Flx",607,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Briscoe,ORL,"PG,Flx",608,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay Felder,TOR,"PG,Flx",609,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Gortat,LAC,"C,Flx",610,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Johnson,WAS,"SG,SF,Flx",611,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
