fr_position,player,fr_2019,fr_2020,fr_2021,fr_2022,fr_2023,fr_2024,fr_rfa,fr_injured,fr_gleague,fr_intl,fr_team,trade_comp,,,,,,,,,fr_team_start2019
G,Luguentz Dort,800000,840000,882000,,,,2022,0,1,0,DEN,DEN,,,,,,,,,DEN
G,Gary Trent Jr.,1050000,1102500,,,,,2021,0,1,0,DEN,DEN,,,,,,,,,DEN
INTL,Petr Cornelie,,,,,,,,0,0,1,DEN,DEN,,,,,,,,,DEN
INTL,Nikola Radicevic,,,,,,,,0,0,1,DEN,DEN,,,,,,,,,DEN
1,Justin Robinson,500000,525000,551250,578812.5,,,,0,0,0,DET,DET,,,,,,,,,DET
1,Quinn Cook,525000,551250,578812.5,,,,,0,0,0,DET,DET,,,,,,,,,DET
2,Matt Thomas,500000,525000,551250,578812.5,,,,0,0,0,DET,DET,,,,,,,,,DET
4,Nicolo Melli,500000,525000,,,,,,0,0,0,DET,DET,,,,,,,,,DET
2-Jan,Reggie Jackson,18086957,,,,,,,0,0,0,DET,DET,,,,,,,,,DET
2-Jan,C.J. McCollum,27556959,29354152,,,,,,0,0,0,DET,DET,,,,,,,,,DET
2-Jan,Edmond Sumner,525000,551250,578812.5,,,,,0,0,0,DET,DET,,,,,,,,,DET
3-Feb,Kentavious Caldwell-Pope,13230000,13891500,,,,,,0,0,0,DET,DET,,,,,,,,,DET
3-Mar,Ryan Broekhoff,525000,551250,,,,,,0,0,0,DET,DET,,,,,,,,,DET
3-Mar,Maurice Harkless,11511236,,,,,,,0,0,0,DET,DET,,,,,,,,,DET
5-Apr,John Collins,2686560,4137302,,,,,2021,0,0,0,DET,DET,,,,,,,,,DET
5-Apr,Wendell Carter Jr.,5201400,5448840,6920027,,,,2022,0,0,0,DET,DET,,,,,,,,,DET
5-Apr,Jaxson Hayes,4862040,5105160,5348280,6803012,,,2023,0,0,0,DET,DET,,,,,,,,,DET
5-May,Vincent Poirier,2000000,2100000,2205000,2315250,,,,0,0,0,DET,DET,,,,,,,,,DET
G,John Konchar,600000,630000,661500,,,,,0,1,0,DET,DET,,,,,,,,,DET
1-Jan,Milos Teodosic,3150000,3307500,3472875,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
1-Jan,Tyler Dorsey,1744951,,,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
2-Jan,Luka Doncic,7683360,8049360,10174391,,,,2022,0,0,0,GSW,GSW,,,,,,,,,GSW
3-Feb,Wayne Ellington,4725000,,,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
3-Feb,Danny Green,4725000,4961250,5209312.5,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
4-Mar,Chandler Parsons,2100000,2205000,,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
4-Mar,Tobias Harris,21000000,22050000,23152500,24310125,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
4-Mar,Carmelo Anthony,525000,551250,,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
4-Apr,Henry Ellenson,500000,,,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
